"Name","04/04","05/04","06/04","07/04","08/04","09/04","10/04","11/04","12/04","13/04"
"Mingenew NW (MI002)","32.9","31.9","33.7","30.6","30.5","31.8","34.7","38.6","31.8","30.1"
"Moora (MZ)","29.9","32","33.5","31.9","30.9","30.3","32.2","37","31.3","24.3"
"Moora NW (MZ002)","29.6","32.1","32.9","31","29.6","29.5","32.1","36.9","30.2","25.1"
"Moorine Rock (ME005)","22.7","22.5","30.1","29","27.5","26.8","27.7","30.5","36.4","30.2"
"Morawa (MO)","34.1","31.4","33.1","30.8","30.2","31.3","33.9","37.3","34.1","32.2"
"Mount Barker (MB)","16.5","19.3","22.6","29.4","21.7","22.3","21.9","29.2","21.5","17.9"
"Mount Barker South (MB003)","16.6","18.8","22.3","29.6","22.1","21.5","21.2","29.3","22.5","18.1"
"Mount Buraminya (BU)","19.6","21.8","25.9","26.6","29.9","22.8","26.3","27.1","31.5","27.2"
"Mount Burdett (BD)","16.7","22.5","27.7","27.3","28.8","21.8","25.4","27.4","29.9","26.3"
"Mount Howick (HO)","18.9","23.9","26.9","27.4","29.3","21.9","25.3","27.1","31.2","25"
"Mount Madden East (MD001)","15.7","20.7","27.3","26","27.1","25.2","25.6","28.5","31.7","21.3"
"Mount Ney (BD002)","18","22.6","27.3","26.8","28.5","21.8","25.4","26.5","32","24.7"
"Mount Walker (NB002)","21.5","21.6","28.8","29.1","26.9","26.1","28.1","30.6","35.6","26.9"
"Mukinbudin (MU001)","26.2","27.6","32.4","30.7","29.4","29.5","30.2","32.8","36.9","29.6"
"Mullewa (MU)","34.5","33.2","33.8","31.2","31.1","32.8","35.1","39.3","33.6","32.8"
"Munglinup (MP002)","14","23.8","28","28.8","29.1","25.1","27","31.4","31.2","15.6"
"Muntadgin East (SB002)","20","21.7","28","27.3","26.7","25.5","27.8","29.8","35.3","26.9"
"Muresk (MK)","20.7","23.3","30.7","30.5","29.7","28.3","28.9","34.1","32.3","23.3"
"Myalup (MY)","21.8","28.8","29.5","26.8","26.2","23.7","26.7","29.8","28.2","27.7"
"Nannup (NU001)","17","25.9","28.4","30.5","25.3","24.2","26","31.2","23.2","21.2"
"Nannup 2 (Carlotta) (NU002)","16.1","25","26.3","29.1","25.1","23","24.6","30.2","21.8","21.6"
"Narembeen (NB001)","20.5","21.2","30.8","29.8","27","26.3","28","31.3","35.3","26.9"
"Narrikup (NA003)","17","19.6","22","30.3","23.1","21.9","21","30.3","21.8","18.2"
"Narrogin (NA001)","17.5","25.3","29.3","30.7","27.1","25.2","26.1","31.6","27.8","22.5"
"New Norcia (NN001)","20.6","25","31.3","30","28.4","28.4","29.5","34.6","29.1","22.6"
"Newdegate (NE)","15.7","21.4","28.5","28","26.9","25","26.5","30.2","33.2","19.3"
"Newlands (KP001)","16.2","23.5","25.9","28.2","25.9","23.2","25.8","30.4","22.7","21.6"
"Northam (NO)","21.2","24.8","31.5","31.3","31.1","29.3","30.9","35.5","33.5","23.5"
"Northampton West (NW001)","29.4","30.2","30.6","29.4","29.4","31.3","34.6","38.1","28.6","27.3"
"Northcliffe (NL001)","16.3","21.5","25.6","27.6","22.9","21.7","21","28.1","19.8","18"
"Nyabing (NY001)","15","22.8","26.9","28.1","26.5","24.3","24.9","29.9","29.4","19.9"
"Nyabing GRDC (NY002)","15.1","22.6","27","28.7","26.6","23.9","25.2","30.1","28.6","21.5"
"Ongerup GRDC (ON002)","14.8","22","25.6","29","26.6","23.3","25.8","29.7","28.8","21.5"
"Ongerup North (ON001)","14.7","21.7","26.1","28.1","26.7","23.3","26","29.6","28.5","21.3"
"Pardoo (PD)","35","35.6","34.7","37.7","34","38.1","39","38.6","38","35.8"
"Pemberton (PM)","15.9","21.6","24.6","28.3","22.9","20.2","21.6","28.1","19.3","19"
"Perenjori (PJ001)","31.5","31.6","33.8","30.1","29.6","31.1","32.9","36.5","34.1","31.9"
"Pindar South (MU002)","33","32.2","34.1","29.8","31.9","33.5","34.2","37.6","34.2","31.9"
"Pingaring (PN001)","16.5","21.2","29.5","28.5","26.9","25.9","26.9","31.1","34.2","20.1"
