"Name","04/04","05/04","06/04","07/04","08/04","09/04","10/04","11/04","12/04","13/04"
"Mount Barker South (MB003)","14.1","14.3","14.3","17.6","16.7","14.6","13.4","14.8","16.4","15.6"
"Mount Buraminya (BU)","10.1","13.9","15.3","17.6","17.3","16.6","9.5","7.8","12.2","17.9"
"Mount Burdett (BD)","10.9","13.4","15","17.7","17.4","16.5","9.4","11.8","14.1","17.1"
"Mount Howick (HO)","10.9","14.7","14.4","17.9","18.8","16.7","11.3","9.8","13.8","18.5"
"Mount Madden East (MD001)","13.2","13.2","14.2","17.6","17.7","16","11.6","13.3","17.7","17.1"
"Mount Ney (BD002)","9.4","13.4","15.2","18.1","17.5","16","11","12.7","14.7","17.6"
"Mount Walker (NB002)","17","13.7","15.1","18.2","15.7","17.1","12.7","16.3","18.6","17.8"
"Mukinbudin (MU001)","20.9","16.6","16","16.8","15.5","14.3","12.2","16.4","21.4","17.8"
"Mullewa (MU)","19.3","18","17.1","16.1","14.1","12.6","12.5","20.3","16","16.2"
"Munglinup (MP002)","11.5","11.5","11.3","15.8","18.8","10.9","6.1","8.7","15.2","14.9"
"Muntadgin East (SB002)","17.7","13.2","14","18.1","15.4","16.9","13","14.2","20.3","17.4"
"Muresk (MK)","16.4","15.1","15.6","17.6","17.1","18","13.5","16.4","19.4","17.7"
"Myalup (MY)","17","17.2","16.5","15.2","17","14.2","9.2","15.9","18.4","17.9"
"Nannup (NU001)","14.5","14.1","14.9","15.9","16.7","14.6","9.6","15.4","15.9","15.5"
"Nannup 2 (Carlotta) (NU002)","13.8","13.8","14.5","15.6","16.5","14.6","10.5","15.5","16.1","15.2"
"Narembeen (NB001)","17.2","14.1","15.7","17.6","15.9","17.2","12.7","15.6","21.3","18.4"
"Narrikup (NA003)","12.7","12.9","13.1","16.8","13.8","13.8","11.5","14.1","16.4","15.6"
"Narrogin (NA001)","13.6","13.6","15.6","16.6","14.7","14.5","10.6","14","17.1","16.8"
"New Norcia (NN001)","19.5","16.3","16","16.7","16.5","15.6","14.2","18","17.2","18.1"
"Newdegate (NE)","12.9","13.1","14.6","15.8","15.1","13.7","8.2","11.3","14.3","16.7"
"Newlands (KP001)","14.1","14.5","15.4","15.7","15.2","13","8.5","15.8","16.9","16.3"
"Northam (NO)","16.7","16","15.9","16.9","16.5","18.7","12.8","14.5","17.1","18.1"
"Northampton West (NW001)","11.5","19.1","14.5","14.8","14.4","12.8","13.7","18.6","16.2","12.8"
"Northcliffe (NL001)","14.6","14.4","13.4","16.9","16.5","14.6","11.1","12.2","15.6","16.3"
"Nyabing (NY001)","13.3","13.4","14.8","16.2","16.2","13.6","9.9","13","17.7","16.6"
"Nyabing GRDC (NY002)","13","13.1","14.8","16","15.9","13.6","7.9","13.1","16.3","15.9"
"Ongerup GRDC (ON002)","13.5","13.4","14.6","16.6","15.9","15.1","10.5","13.2","17.6","16.4"
"Ongerup North (ON001)","13.3","13.3","14.7","16.3","16.3","15.5","8.5","12.3","16.8","16.2"
"Pardoo (PD)","19","20.8","26.1","24.3","25.8","26.9","27","25.9","22.2","22.1"
"Pemberton (PM)","14","13.9","14.5","16.8","16.2","14.3","10.2","14.4","15.1","15.2"
"Perenjori (PJ001)","24.6","16.8","17.5","18.7","16.2","16","16.4","17.1","19.2","18"
"Pindar South (MU002)","19.9","17.4","17.5","19.5","15.6","16.4","16.8","20.4","19.4","18.3"
"Pingaring (PN001)","14.3","14.2","14.6","16.6","16.5","15.3","12.8","14.3","19.2","17.3"
"Pingelly West (PY001)","14.4","13.9","15.4","14.9","14.8","16","10.5","10.3","15.9","18.2"
"Pingrup East (PG001)","12.9","13","14.5","15.7","15.4","14","9","12.3","16.9","16.4"
"Pinjar (PNJR)","19.7","17.8","17.3","16.4","17.5","18","14.3","18.7","19.1","17.8"
"Pinjarra (PI001)","16.7","16.7","18.1","14.4","15","14.3","11.3","16.4","16.8","19.5"
"Popanyinning (PO001)","14.1","13.7","15.8","16.2","15.8","16","12.9","14.6","17.4","18"
"Quairading (QD001)","15.8","14.3","14.3","15.8","15","18.2","12","10.1","17.1","17.2"
"Qualeup (QA001)","13.7","13.7","14.4","15.4","17.6","11.1","8.2","13.6","16.4","15.7"
"Quickup Dam (DM002)","10.5","7","4.8","9.8","11.3","6.2","9.4","-1.7","4.9","10.2"
"Quinninup (QP001)","14","14","14","16.2","16.2","13.2","8.5","10.9","13.7","15"
"Ravensthorpe (RA)","12.7","13","13.9","16.2","15.9","14.4","7.5","12","17.9","16.7"
