Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
TE4,-30.26868303,149.841019,0.05,0,10,165.0360972,4.264855385,236.9833069,0.146965921,0.194022432,0.698299825,47.09008408,19.7172718,33.74490356,NIR,8.04,237,,,,,,,,,,
TE4,-30.26868303,149.841019,0.45,40,50,165.0360972,4.264855385,236.9833069,0.146965921,0.194022432,0.698299825,49.55138779,21.76337433,28.16556931,NIR,9.43,253,,,,,,,,,,
TE5,-30.265896,149.8429,0.05,0,10,159.9185351,3.796364069,238.1043091,0.177475408,0.28335011,0.604501128,43.27576828,15.90316963,41.01105118,NIR,6.34,258,,,,,,,,,,
TE5,-30.265896,149.8429,0.45,40,50,159.9185351,3.796364069,238.1043091,0.177475408,0.28335011,0.604501128,49.22513199,16.77357864,34.34663391,NIR,9.34,183,,,,,,,,,,
TF2,-30.27451459,149.8446169,0.05,0,10,103.470957,1.254274964,238.5479584,0.205086961,0.376224369,0.613702297,33.36942673,21.19183922,81.78354645,NIR,7.09,45,,,,,,,,,,
TF2,-30.27451459,149.8446169,0.45,40,50,103.470957,1.254274964,238.5479584,0.205086961,0.376224369,0.613702297,33.46391296,11.41650391,64.60100555,NIR,9.5,119,,,,,,,,,,
TF3,-30.27677341,149.8417971,0.05,0,10,171.939,2.52648735,235.3755188,0.15855214,0.216651931,0.658254802,47.20184326,19.00020981,64.36858368,NIR,6.93,726,,,,,,,,,,
TF3,-30.27677341,149.8417971,0.45,40,50,171.939,2.52648735,235.3755188,0.15855214,0.216651931,0.658254802,62.28277969,13.49880791,12.38066483,NIR,9.44,352,,,,,,,,,,
TF4,-30.27859255,149.8387789,0.05,0,10,179.7887229,3.401085138,233.2019501,0.13104324,0.185662463,0.596829593,52.80925369,21.72419548,16.55936623,NIR,9.01,182,,,,,,,,,,
TF4,-30.27859255,149.8387789,0.45,40,50,179.7887229,3.401085138,233.2019501,0.13104324,0.185662463,0.596829593,64.38117218,20.80078316,6.972882271,NIR,9.59,48,,,,,,,,,,
