Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
S30,-30.261139,149.870552,0.45,30,60,142.4561147,4.375223637,251.3080292,0.122533724,0.173733979,0.631071806,52.4256651,13.30203443,34.27230047,PSA,9.27,223,0.45,0.77,0.81,0.36,10,14,0.41,3,27,11.11
S30,-30.261139,149.870552,0.7,60,80,142.4561147,4.375223637,251.3080292,0.122533724,0.173733979,0.631071806,55.49821472,16.33796501,25.45251465,NIR,9.51,302,0.36,0.62,0.86,0.5,7.5,13,0.49,4.3,25,17.2
S30,-30.261139,149.870552,0.9,80,100,142.4561147,4.375223637,251.3080292,0.122533724,0.173733979,0.631071806,54.50015571,14.01432576,31.48551853,PSA,9.53,370,0.27,0.46,0.87,0.6,6.5,13,0.54,5.2,25,20.8
S4,-30.265899,149.853125,0.05,0,10,147.4542263,4.307341099,244.4859619,0.138644651,0.189329848,0.689990282,54.88386892,15.9083678,29.20776328,PSA,8.7,285,0.84,1.4,0.97,0.13,15,11,1,0.78,28,2.79
S4,-30.265899,149.853125,0.2,10,30,147.4542263,4.307341099,244.4859619,0.138644651,0.189329848,0.689990282,58.6520462,21.25673866,18.56451416,NIR,8.92,223,0.69,1.2,1.1,0.41,14,13,0.44,1.5,29,5.17
S4,-30.265899,149.853125,0.45,30,60,147.4542263,4.307341099,244.4859619,0.138644651,0.189329848,0.689990282,53.73831776,17.13395639,29.12772586,PSA,9.21,247,0.6,1,1.2,0.6,12,14,0.67,3.1,30,10.33
S4,-30.265899,149.853125,0.7,60,80,147.4542263,4.307341099,244.4859619,0.138644651,0.189329848,0.689990282,56.42972946,23.34467506,20.01237297,NIR,9.45,333,0.61,1,1,0.39,8.5,12,0.69,4.8,26,18.46
S4,-30.265899,149.853125,0.88,80,95,147.4542263,4.307341099,244.4859619,0.138644651,0.189329848,0.689990282,53.07172724,20.10292699,26.82534577,PSA,9.53,434,0.3,0.52,0.71,0.41,4.8,8.2,0.44,4.4,18,24.44
S5,-30.265924,149.869151,0.05,0,10,143.9315399,4.048741817,253.9397736,0.126525611,0.181925282,0.560594678,52.85579047,21.30009467,25.84411486,PSA,8.67,155,0.88,1.5,1.1,0.22,16,9.9,1.6,0.61,28,2.18
S5,-30.265924,149.869151,0.2,10,30,143.9315399,4.048741817,253.9397736,0.126525611,0.181925282,0.560594678,56.81588745,22.3185482,29.35889816,NIR,8.99,165,0.51,0.88,0.93,0.42,11,9.1,0.95,1.4,22,6.36
S5,-30.265924,149.869151,0.45,30,60,143.9315399,4.048741817,253.9397736,0.126525611,0.181925282,0.560594678,54.63219452,16.92828563,28.43951985,PSA,9.24,256,0.56,0.96,0.94,0.38,10,13,0.82,3.2,27,11.85
S5,-30.265924,149.869151,0.7,60,80,143.9315399,4.048741817,253.9397736,0.126525611,0.181925282,0.560594678,53.83536148,19.64481544,26.5891819,NIR,9.47,344,0.36,0.62,0.98,0.62,7,13,0.49,4.8,25,19.2
S5,-30.265924,149.869151,0.9,80,100,143.9315399,4.048741817,253.9397736,0.126525611,0.181925282,0.560594678,51.3803681,18.40490798,30.21472393,PSA,9.62,384,0.3,0.52,0.77,0.47,5,12,0.59,5.7,23,24.78
S6,-30.268069,149.846951,0.05,0,10,152.4864274,4.088449001,240.4844818,0.131161854,0.177929893,0.591962934,50.59153176,14.7882939,34.62017435,PSA,7.61,257,0.64,1.1,0.91,0.27,8,11,0.69,1.6,21,7.62
S6,-30.268069,149.846951,0.2,10,30,152.4864274,4.088449001,240.4844818,0.131161854,0.177929893,0.591962934,60.63674927,25.32096672,25.10570717,NIR,8.85,297,0.53,0.91,0.97,0.44,8,12,0.36,2.9,23,12.61
S6,-30.268069,149.846951,0.45,30,60,152.4864274,4.088449001,240.4844818,0.131161854,0.177929893,0.591962934,42.67216009,19.86462625,37.46321366,PSA,9.49,405,0.4,0.69,0.84,0.44,6,12,0.54,4.8,23,20.87
S6,-30.268069,149.846951,0.7,60,80,152.4864274,4.088449001,240.4844818,0.131161854,0.177929893,0.591962934,47.1586647,17.5759697,39.0097847,NIR,9.42,523,0.15,0.26,0.36,0.21,3.4,8.2,0.46,5.2,17,30.59
S6,-30.268069,149.846951,0.9,80,100,152.4864274,4.088449001,240.4844818,0.131161854,0.177929893,0.591962934,40.37365421,25.33248892,34.29385687,PSA,9.46,786,<0.15,0.26,0.42,0.27,3.9,8.2,0.31,5.7,18,31.67
S7,-30.272084,149.895901,0.05,0,10,141.9775654,5.491512299,271.3359985,0.127045423,0.174290255,0.647362232,59.69667635,21.78121975,18.5221039,PSA,8.35,115,0.79,1.4,1,0.21,10,12,1.3,0.042,23,0.18
S7,-30.272084,149.895901,0.2,10,30,141.9775654,5.491512299,271.3359985,0.127045423,0.174290255,0.647362232,61.07849503,22.13325691,17.79198837,NIR,8.3,70,0.65,1.1,1,0.35,10,12,0.72,0.13,23,0.57
S7,-30.272084,149.895901,0.45,30,60,141.9775654,5.491512299,271.3359985,0.127045423,0.174290255,0.647362232,62.36526024,21.55836156,16.0763782,PSA,8.76,100,0.71,1.2,1,0.29,11,15,0.84,0.37,27,1.37
S7,-30.272084,149.895901,0.7,60,80,141.9775654,5.491512299,271.3359985,0.127045423,0.174290255,0.647362232,60.41552734,24.08659172,8.194853783,NIR,8.98,146,0.54,0.93,1.2,0.66,8.5,15,0.51,0.7,25,2.8
S7,-30.272084,149.895901,0.85,80,90,141.9775654,5.491512299,271.3359985,0.127045423,0.174290255,0.647362232,54.83870968,20.96774194,24.19354839,PSA,9.01,157,0.36,0.62,1,0.64,8,16,0.51,0.91,25,3.64
S8,-30.258601,149.89123,0.05,0,10,170.2048048,4.819519043,263.2955322,0.134969845,0.171756074,0.67615658,58.12101911,22.29299363,19.58598726,PSA,8.75,208,0.63,1.1,1,0.37,14,11,1.1,0.74,27,2.74
S8,-30.258601,149.89123,0.2,10,30,170.2048048,4.819519043,263.2955322,0.134969845,0.171756074,0.67615658,57.3195343,23.07230377,14.51669312,NIR,8.96,163,0.48,0.83,0.95,0.47,13,12,0.56,1.2,27,4.44
S8,-30.258601,149.89123,0.45,30,60,170.2048048,4.819519043,263.2955322,0.134969845,0.171756074,0.67615658,55.65862709,20.09894867,24.24242424,PSA,9.23,245,0.33,0.57,0.85,0.52,10,13,0.61,2.9,27,10.74
S8,-30.258601,149.89123,0.7,60,80,170.2048048,4.819519043,263.2955322,0.134969845,0.171756074,0.67615658,53.00593185,18.76244354,16.15544319,NIR,9.51,343,0.27,0.46,0.75,0.48,7,12,0.49,4.8,24,20
S8,-30.258601,149.89123,0.9,80,100,170.2048048,4.819519043,263.2955322,0.134969845,0.171756074,0.67615658,57.54475703,18.38235294,24.07289003,PSA,9.67,368,0.21,0.36,0.71,0.5,6,12,0.56,5.7,24,23.75
S9,-30.272367,149.896524,0.05,0,10,146.1882659,5.516218662,271.4320984,0.126636043,0.174745336,0.662965775,60.13470173,22.45028865,17.41500962,PSA,8.43,218,0.84,1.4,1,0.16,13,12,1.9,0.022,27,0.08
S9,-30.272367,149.896524,0.2,10,30,146.1882659,5.516218662,271.4320984,0.126636043,0.174745336,0.662965775,63.14261246,24.8452034,14.70187473,NIR,8.55,146,0.62,1.1,1,0.38,13,14,0.51,0.13,28,0.46
S9,-30.272367,149.896524,0.45,30,60,146.1882659,5.516218662,271.4320984,0.126636043,0.174745336,0.662965775,62.48022778,19.77222398,17.74754824,PSA,8.83,151,0.65,1.1,1.2,0.55,12,17,0.87,0.61,30,2.03
S9,-30.272367,149.896524,0.7,60,80,146.1882659,5.516218662,271.4320984,0.126636043,0.174745336,0.662965775,59.69211578,23.76049232,15.43252087,NIR,8.99,192,0.56,0.96,1.2,0.64,11,21,0.51,1.7,34,5
S9,-30.272367,149.896524,0.88,80,95,146.1882659,5.516218662,271.4320984,0.126636043,0.174745336,0.662965775,61.07233503,26.17385787,12.75380711,PSA,9.12,209,0.52,0.89,1.2,0.68,9,19,0.41,2.1,31,6.77
TA1,-30.28102126,149.818628,0.05,0,10,158.2905448,3.838969469,225.3836212,0.142501563,0.19267422,0.690265477,56.99764252,17.27855301,29.26978111,NIR,8.12,124,,,,,,,,,,
TA1,-30.28102126,149.818628,0.45,40,50,158.2905448,3.838969469,225.3836212,0.142501563,0.19267422,0.690265477,70.95635986,16.64800262,10.49163055,NIR,8.9,169,,,,,,,,,,
TA2,-30.2813569,149.8225679,0.05,0,10,154.7616643,3.418371916,227.0079041,0.131314799,0.173508793,0.65188098,55.06177139,22.44014359,31.87422371,NIR,8.56,91,,,,,,,,,,
TA2,-30.2813569,149.8225679,0.45,40,50,154.7616643,3.418371916,227.0079041,0.131314799,0.173508793,0.65188098,62.01977158,19.13193321,18.78099442,NIR,9.35,286,,,,,,,,,,
TA3,-30.28022618,149.8285591,0.05,0,10,139.1232308,3.490162373,229.7694244,0.126333594,0.179631785,0.717618048,57.25879288,26.06856155,17.50241661,NIR,8.24,83,,,,,,,,,,
TA3,-30.28022618,149.8285591,0.45,40,50,139.1232308,3.490162373,229.7694244,0.126333594,0.179631785,0.717618048,57.85839462,23.47590637,22.23343849,NIR,9.35,385,,,,,,,,,,
TA4,-30.27797987,149.830808,0.05,0,10,148.0493709,4.279098511,230.5395966,0.134326965,0.185512081,0.706168592,50.5919342,23.83951569,24.54981804,NIR,9.35,64,,,,,,,,,,
TA4,-30.27797987,149.830808,0.45,40,50,148.0493709,4.279098511,230.5395966,0.134326965,0.185512081,0.706168592,58.06024933,23.9552021,20.06887436,NIR,9.2,187,,,,,,,,,,
TAB,-30.26717535,149.882689,0.05,0,10,151.2262315,4.792497158,260.3092651,0.127893597,0.173751861,0.62772131,42.45148468,20.63090897,37.0071907,NIR,9.85,73,,,,,,,,,,
TAB,-30.26717535,149.882689,0.45,40,50,151.2262315,4.792497158,260.3092651,0.127893597,0.173751861,0.62772131,46.28803635,24.04124451,32.30428696,NIR,8.86,154,,,,,,,,,,
TAB1,-30.26929718,149.882903,0.05,0,10,139.129055,5.666369915,263.2702637,0.135541812,0.173763707,0.577294469,53.75276184,22.21949196,25.69657135,NIR,7.73,56,,,,,,,,,,
TAB1,-30.26929718,149.882903,0.45,40,50,139.129055,5.666369915,263.2702637,0.135541812,0.173763707,0.577294469,57.28617859,21.32234192,25.39889526,NIR,9.05,182,,,,,,,,,,
TAB2,-30.27283315,149.880646,0.05,0,10,149.2578801,5.03164053,263.0981445,0.131144106,0.177117839,0.664868832,52.63161087,19.44849205,37.63595581,NIR,7.6,79,,,,,,,,,,
TAB2,-30.27283315,149.880646,0.45,40,50,149.2578801,5.03164053,263.0981445,0.131144106,0.177117839,0.664868832,57.56308365,22.88618279,15.04631901,NIR,9.33,253,,,,,,,,,,
TAB4,-30.27671362,149.8821499,0.05,0,10,150.9220566,3.939651728,260.4832764,0.126693174,0.1773545,0.653427303,52.22725677,22.9676857,21.76324844,NIR,8.48,94,,,,,,,,,,
TAB4,-30.27671362,149.8821499,0.45,40,50,150.9220566,3.939651728,260.4832764,0.126693174,0.1773545,0.653427303,57.2092247,22.83525085,14.01160622,NIR,9.34,281,,,,,,,,,,
TAC1,-30.26399085,149.8858839,0.05,0,10,144.3272043,6.101981163,264.392334,0.138534084,0.18769449,0.609160304,56.64229202,22.0555172,24.53022003,NIR,8.1,51,,,,,,,,,,
TAC1,-30.26399085,149.8858839,0.45,40,50,144.3272043,6.101981163,264.392334,0.138534084,0.18769449,0.609160304,55.2195015,21.29690933,23.83647919,NIR,8.73,100,,,,,,,,,,
TAC2,-30.26258731,149.8876411,0.05,0,10,153.8330007,5.831153393,265.3240051,0.146132275,0.185845524,0.614225447,54.58945084,21.10432053,26.27251434,NIR,7.91,55,,,,,,,,,,
TAC2,-30.26258731,149.8876411,0.45,40,50,153.8330007,5.831153393,265.3240051,0.146132275,0.185845524,0.614225447,56.07387161,23.83067894,18.71929359,NIR,8.71,129,,,,,,,,,,
